anio;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas;cantidad_victimas_masc;cantidad_victimas_fem;cantidad_victimas_sd;tasa_hechos;tasa_victimas;tasa_victimas_masc;tasa_victimas_fem
2000;1;Homicidios dolosos;2653;2805;2167;369;269;7,2270207;7,6410828;12,048265;1,9707898
2000;2;Homicidios dolosos en grado de tentativa;884;942;641;135;177;2,4080989;2,5660963;3,5638845;,72102064
2000;3;Muertes en accidentes viales;3686;4297;2932;927;438;10,041009;11,705431;16,301575;4,9510083
2000;4;Homicidios culposos por otros hechos;1058;1119;663;262;194;2,882091;3,0482609;3,686202;1,3993142
2000;5;Lesiones dolosas;107864;112475;55115;39485;17875;293,83163;306,39243;306,43292;210,88519
2000;6;Lesiones culposas en Accidentes Viales;54429;61882;36408;17283;8191;148,2697;168,57237;202,42419;92,306664
2000;7;Lesiones culposas por otros hechos;11024;11410;4286;2557;4567;30,030409;31,081909;23,829657;13,656666
2000;8;Otros delitos contra las personas;21232;22033;10689;5274;6070;57,837955;60,019955;59,429585;28,167873
2000;9;Delitos contra el honor;372;383;98;231;54;1,0133629;1,0433279;,54486847;1,2337464
2000;10;Abusos sexuales con acceso carnal (violaciones);3023;3107;325;2284;498;8,2349348;8,4637594;1,8069618;12,198602
2000;11;Otros delitos contra la integridad sexual;5911;6173;784;3959;1430;16,102118;16,81583;4,3589478;21,144598
2000;12;Delitos contra el estado civil;178;;;;;,48488867;;;
2000;13;Amenazas;92826;;;;;252,86671;;;
2000;14;Otros delitos contra la libertad;15628;15628;0;0;15628;42,572136;42,572136;0;0
2000;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);320649;;;;;873,47791;;;
2000;16;Tentativas de robo (excluye las agravadas por el res, de lesiones y/o muerte);21223;;;;;57,813438;;;
2000;17;Robos agravados por el resultado de lesiones y/o muertes ;14819;;;;;40,368343;;;
2000;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;2541;;;;;6,9219222;;;
2000;19;Hurtos;293888;;;;;800,57843;;;
2000;20;Tentativas de hurto;11432;;;;;31,141838;;;
2000;21;Otros delitos contra la propiedad;89175;;;;;242,92105;;;
2000;22;Delitos contra la seguridad pública;5147;;;;;14,02091;;;
2000;23;Delitos contra el orden público;1558;;;;;4,2441378;;;
2000;24;Delitos contra la seguridad de la nación;34;;;;;,092619188;;;
2000;25;Delitos contra los poderes públicos y el orden constitucional;85;;;;;,23154797;;;
2000;26;Delitos contra la administración pública;10110;;;;;27,540586;;;
2000;27;Delitos contra la fe pública;5868;;;;;15,984982;;;
2000;28;Ley 23,737 (estupefacientes);15994;;;;;43,569153;;;
2000;29;Otros delitos previstos en leyes especiales;16195;;;;;44,116695;;;
2000;30;Contravenciones;130384;;;;;355,17822;;;
2000;31;Suicidios (consumados);3129;3129;0;0;3129;9,3990049;9,3990049;0;0
2001;1;Homicidios dolosos;3053;3143;2529;399;215;8,2166653;8,4588852;13,89465;2,1049914
2001;2;Homicidios dolosos en grado de tentativa;888;985;710;154;121;2,3899109;2,6509712;3,9008312;,81245285
2001;3;Muertes en accidentes viales;3797;4339;2980;963;396;10,219023;11,67773;16,372503;5,0804682
2001;4;Homicidios culposos por otros hechos;625;678;437;158;83;1,6820883;1,8247293;2,4009342;,83355552
2001;5;Lesiones dolosas;117745;124273;61686;44408;18179;316,89197;334,46106;338,9108;234,28186
2001;6;Lesiones culposas en Accidentes Viales;58530;68583;40014;18362;10207;157,5242;184,58026;219,84206;96,871811
2001;7;Lesiones culposas por otros hechos;8907;9287;3837;2142;3308;23,971777;24,994486;21,080971;11,300481
2001;8;Otros delitos contra las personas;17979;18965;10374;5437;3154;48,387623;51,041286;56,99609;28,683805
2001;9;Delitos contra el honor;379;408;118;250;40;1,0200183;1,0980673;,64830714;1,3189169
2001;10;Abusos sexuales con acceso carnal (violaciones);3289;3377;281;2449;647;8,8518209;9,0886593;1,5438501;12,920111
2001;11;Otros delitos contra la integridad sexual;5803;6002;674;4217;1111;15,617853;16,153431;3,7030425;22,247492
2001;12;Delitos contra el estado civil;99;;;;;,26644278;;;
2001;13;Amenazas;108340;;;;;291,5799;;;
2001;14;Otros delitos contra la libertad;13729;13729;0;0;13729;36,949425;36,949425;0;0
2001;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);345725;;;;;930,46393;;;
2001;16;Tentativas de robo (excluye las agravadas por el res, de lesiones y/o muerte);19898;;;;;53,552307;;;
2001;17;Robos agravados por el resultado de lesiones y/o muertes ;16029;;;;;43,139507;;;
2001;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;2082;;;;;5,6033726;;;
2001;19;Hurtos;304122;;;;;818,49609;;;
2001;20;Tentativas de hurto;10594;;;;;28,51207;;;
2001;21;Otros delitos contra la propiedad;84334;;;;;226,97157;;;
2001;22;Delitos contra la seguridad pública;5736;;;;;15,437533;;;
2001;23;Delitos contra el orden público;4734;;;;;12,740809;;;
2001;24;Delitos contra la seguridad de la nación;34;;;;;,091505602;;;
2001;25;Delitos contra los poderes públicos y el orden constitucional;110;;;;;,29604754;;;
2001;26;Delitos contra la administración pública;11662;;;;;31,386421;;;
2001;27;Delitos contra la fe pública;5387;;;;;14,498256;;;
2001;28;Ley 23,737 (estupefacientes);15364;;;;;41,349766;;;
2001;29;Otros delitos previstos en leyes especiales;17956;;;;;48,325722;;;
2001;30;Contravenciones;202813;;;;;545,83899;;;
2001;31;Suicidios (consumados);3167;3167;0;0;3167;9,3887501;9,3887501;0;0
2002;1;Homicidios dolosos;3459;3571;2903;402;266;9,2133732;9,5116959;15,788522;2,0985076
2002;2;Homicidios dolosos en grado de tentativa;862;922;713;139;70;2,2960184;2,4558342;3,8777871;,7256034
2002;3;Muertes en accidentes viales;3178;3550;2461;698;391;8,4649029;9,45576;13,384621;3,6436775
2002;4;Homicidios culposos por otros hechos;589;621;439;122;60;1,5688571;1,6540922;2,3875856;,63686049
2002;5;Lesiones dolosas;125267;130786;63066;46301;21419;333,66049;348,36087;342,99652;241,69901
2002;6;Lesiones culposas en Accidentes Viales;53527;61253;33794;16928;10531;142,57422;163,15315;183,79515;88,367004
